Account No,,,Pin No,BALANCE AMT
409000611074',,,784777,1000000
409000611074',,,136446,2000000
409000611074',,,263338,2500000
409000611074',,,334297,5500000
409000611074',,,896572,6000000
409000611074',,,443337,6500000
409000611074',,,528135,7000000
409000611074',,,913152,7500000
409000611074',,,175334,8000000
409000611074',,,186147,8500000
409000611074',,,585283,8366100
409000611074',,,939508,8348100
409000611074',,,731948,8343100
409000611074',,,401607,8147300
409000611074',,,281582,8065700
409000611074',,,133695,8023900
409000611074',,,650678,7925400
409000611074',,,491828,7781600
409000611074',,,262336,7449950
409000611074',,,180905,7320950
409000611074',,,367511,7090937
409000611074',,,594728,6723037
409000611074',,,683233,6615037
409000611074',,,179689,6550237
409000611074',,,409035,6409237
409000611074',,,876715,6347487
409000611074',,,629568,6279567
409000611074',,,261549,6201467
409000611074',,,624644,6165817
409000611074',,,865321,5959817
409000611074',,,910087,5924517
409000611074',,,464486,5874717
409000611074',,,179248,5821717
409000611074',,,531749,5730417
409000611074',,,981309,5672918
409000611074',,,450293,5652918
409000611074',,,948515,5633518
409000611074',,,165620,5593018
409000611074',,,730356,5350718
409000611074',,,513123,5260618
409000611074',,,390208,5147368
409000611074',,,865508,5134868
409000611074',,,730666,5094868
409000611074',,,216522,4887968
409000611074',,,912890,4611968
409000611074',,,413963,4440968
409000611074',,,425668,4400868
409000611074',,,168804,4211068
409000611074',,,541400,4155268
409000611074',,,366279,4059868
409000611074',,,570137,3788545
409000611074',,,918129,3587945
409000611074',,,439996,3411045
409000611074',,,798564,3260995
409000611074',,,601101,3178495
409000611074',,,683955,3163695
409000611074',,,446480,3013095
409000611074',,,462763,2809770
409000611074',,,818095,2685870
409000611074',,,577845,2652007
409000611074',,,504661,2620007
409000611074',,,800562,2611708
409000611074',,,414192,2559489
409000611074',,,264388,2463039
409000611074',,,918345,2323176
409000611074',,,109599,2270453
409000611074',,,658596,2193202
409000611074',,,207355,2173202
409000611074',,,799574,2163202
409000611074',,,928471,2059602
409000611074',,,576042,1988602
409000611074',,,196136,1859202
409000611074',,,704263,1569039
409000611074',,,195762,1534739
409000611074',,,259462,1484939
409000611074',,,600837,1440139
409000611074',,,990027,1288589
409000611074',,,956758,978190
409000611074',,,827519,706789
409000611074',,,895818,431340
409000611074',,,429167,379838
409000611074',,,204679,343188
409000611074',,,623692,243588
409000611074',,,770718,743588
409000611074',,,378939,1243588
409000611074',,,415284,1743588
409000611074',,,790617,2243588
409000611074',,,885106,2743588
409000611074',,,118270,2331825
409000611074',,,894256,1976687
409000611074',,,257273,1888031
409000611074',,,891162,1873231
409000611074',,,350776,1846231
409000611074',,,805632,1803381
409000611074',,,771155,1763456
409000611074',,,972543,1561350
409000611074',,,723146,1391548
409000611074',,,790193,1190978
409000611074',,,549873,1178872
409000611074',,,990860,1166261
409000611074',,,273204,1156886
409000611074',,,132150,1031686
409000611074',,,543392,970286
409000611074',,,662348,826586
409000611074',,,545782,1326586
409000611074',,,999062,1826586
409000611074',,,130210,2326586
409000611074',,,809040,2320586
409000611074',,,747578,2222636
409000611074',,,674874,2189636
409000611074',,,386412,1860336
409000611074',,,838466,1842336
409000611074',,,804576,1728936
409000611074',,,785484,1466710
409000611074',,,460063,1147960
409000611074',,,959071,1082411
409000611074',,,968552,875910
409000611074',,,129739,1375910
409000611074',,,486319,1290910
409000611074',,,408790,1214521
409000611074',,,437636,1151796
409000611074',,,697408,1112796
409000611074',,,124184,1103196
409000611074',,,568058,979936
409000611074',,,707343,610133
409000611074',,,290753,440008
409000611074',,,709659,940008
409000611074',,,742565,732008
409000611074',,,421657,1232008
409000611074',,,401717,940858
409000611074',,,894545,916858
409000611074',,,880517,775312
409000611074',,,771966,695312
409000611074',,,475236,649062
409000611074',,,760961,606237
409000611074',,,243054,426774
409000611074',,,138088,407825
409000611074',,,977583,316384
409000611074',,,132421,168634
409000611074',,,655330,668634
409000611074',,,803470,1168634
409000611074',,,345224,1058446
409000611074',,,436409,996576
409000611074',,,107009,912475
409000611074',,,486848,782775
409000611074',,,295202,775276
409000611074',,,614363,695176
409000611074',,,584774,551326
409000611074',,,982877,261826
409000611074',,,876897,761826
409000611074',,,537220,1261826
409000611074',,,795965,1166926
409000611074',,,914096,942075
409000611074',,,663029,657122
409000611074',,,293239,541972
409000611074',,,238508,501972
409000611074',,,217005,1001972
409000611074',,,861113,856072
409000611074',,,689765,772821
409000611074',,,434169,580621
409000611074',,,866598,505822
409000611074',,,542307,1005822
409000611074',,,197746,986422
409000611074',,,111284,946722
409000611074',,,108840,903922
409000611074',,,257811,803520
409000611074',,,204230,702020
409000611074',,,109310,665059
409000611074',,,498540,597209
409000611074',,,249010,577409
409000611074',,,515202,567409
409000611074',,,325723,542909
409000611074',,,510260,501209
409000611074',,,127650,1001209
409000611074',,,491546,783159
409000611074',,,673667,596759
409000611074',,,236690,425429
409000611074',,,810219,391029
409000611074',,,426547,339830
409000611074',,,700055,180680
409000611074',,,703822,680680
409000611074',,,522568,1180680
409000611074',,,868897,974605
409000611074',,,589630,832605
409000611074',,,442384,482255
409000611074',,,294352,138355
409000611074',,,407851,638355
409000611074',,,651364,1138355
409000611074',,,742251,927855
409000611074',,,482187,788355
409000611074',,,694593,695805
409000611074',,,275541,1195805
409000611074',,,406689,1695805
409000611074',,,262546,1041307
409000611074',,,922157,536857
409000611074',,,733645,1036857
409000611074',,,439381,475632
409000611074',,,465773,975632
409000611074',,,479148,1475632
409000611074',,,892897,1329582
409000611074',,,982079,1229282
409000611074',,,724604,1166857
409000611074',,,444679,801557
409000611074',,,862323,778007
409000611074',,,550828,1278007
409000611074',,,606657,1018482
409000611074',,,192760,635372
409000611074',,,626127,497222
409000611074',,,842434,997222
409000611074',,,438436,711823
409000611074',,,870806,697823
409000611074',,,543818,643573
409000611074',,,539335,496073
409000611074',,,620569,996073
409000611074',,,147009,672573
