IssuingNetwork,CardNumber,Name,Expiry_Date,CVV,Account_ID,CardStatus,PIN Number
Master Card,4555914595512560,Emma Garrison,2022-09,499,6454856238,VALID,666666
Master Card,8285061751052780,Ashley Gordon,2023-05,129,6452546388,VALID,999999
Master Card,3850897970689490,Mark Woodward,2024-01,427,6458457236,VALID,555555
Master Card,8645312619140370,Elizabeth Justice,2025-03,885,6457589256,VALID,442844
Master Card,3826390705700420,Edward Castillo,2024-07,939,6452255402,VALID,909885
VISA,5325243859374300,Elijah Valencia,2028-07,392,6457319546,VALID,492154
VISA,7624518697470710,Thomas Stein,2023-06,398,6458795246,VALID,141981
VISA,7026888274318720,Jayden Frazier,2029-02,969,6454655389,VALID,277389
VISA,7444476283169460,Tim Bradley,2024-06,265,6453388410,CANCELLED,640985
VISA,4948966840452290,Jose Beach,2020-01,565,6459568547,EXPIRED,308469
